Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
0.003439,0.361504,0.699425,0.188906,1.395203,-5.381678,-1.973678,18.375504,28.318510,9.598992
0.003796,-0.026582,0.204837,0.970814,0.076289,-0.860117,-9.843002,7.757975,-9.752227,-31.804077
-0.000157,-0.035489,-0.037563,-0.000192,-0.032795,0.123929,0.249693,-0.209245,-0.451801,0.626648
0.003292,-0.179511,-0.172852,-0.692291,1.169004,-5.306543,-1.689924,18.289093,28.372873,9.767657
0.004163,-0.422502,0.700493,0.701473,0.853883,-1.246102,-9.899693,7.946009,-9.588449,-31.789162
-0.000154,-0.018247,0.019558,-0.000161,-0.010957,0.123852,0.239368,-0.207425,-0.456427,0.576348
0.003114,-0.161194,-0.696690,-0.978483,0.604078,-5.202367,-1.404691,18.200630,28.426298,9.936082
0.004527,0.280044,-0.160641,-0.168228,1.390498,-1.625251,-9.947704,8.133152,-9.424357,-31.773483
-0.000150,0.037437,0.037967,-0.000122,0.014145,0.123097,0.228832,-0.205583,-0.461039,0.526034
0.002903,0.272765,0.140260,-0.446675,-0.116751,-5.069708,-1.118231,18.110119,28.478785,10.104270
0.004878,-0.316528,-0.708833,-0.899380,1.578831,-1.995486,-9.987001,8.319379,-9.259951,-31.757038
-0.000146,-0.051166,-0.017862,-0.000103,0.035774,0.121667,0.218096,-0.203717,-0.465636,0.475707
0.002666,-0.361214,0.720945,0.449876,-0.814190,-4.909267,-0.830797,18.017576,28.530323,10.272214
0.005212,-0.233731,0.103029,-0.904568,1.417016,-2.354768,-10.017558,8.504672,-9.095238,-31.739824
-0.000140,0.013717,-0.040248,-0.000117,0.049492,0.119571,0.207170,-0.201828,-0.470217,0.425368
0.002406,0.202568,-0.069022,0.989410,-1.348295,-4.721877,-0.542639,17.923006,28.580921,10.439912
0.005528,0.246356,0.720772,-0.185546,0.969214,-2.701104,-10.039352,8.689009,-8.930223,-31.721857
-0.000134,0.001181,0.013798,-0.000149,0.053209,0.116817,0.196062,-0.199917,-0.474782,0.375020
0.002124,0.040291,-0.713661,0.724627,-1.623422,-4.508493,-0.254012,17.826416,28.630569,10.607362
0.005832,-0.451021,-0.054222,0.684462,0.335899,-3.032551,-10.052370,8.872366,-8.764913,-31.703131
-0.000128,-0.040960,0.040354,-0.000168,0.046683,0.113421,0.184783,-0.197983,-0.479332,0.324662
0.001817,-0.370634,0.034686,-0.146827,-1.585955,-4.270206,0.034832,17.727818,28.679268,10.774557
0.006118,0.059236,-0.719600,0.977986,-0.360290,-3.347227,-10.056606,9.054725,-8.599312,-31.683645
-0.000121,0.038388,-0.011972,-0.000153,0.031168,0.109397,0.173342,-0.196027,-0.483866,0.274297
0.001487,0.359839,0.726815,-0.889452,-1.227188,-4.008237,0.323640,17.627218,28.727018,10.941498
0.006383,-0.059747,-0.000990,0.433730,-0.980434,-3.643316,-10.052055,9.236061,-8.433425,-31.663410
-0.000113,-0.038391,-0.042070,-0.000109,0.009363,0.104767,0.161750,-0.194048,-0.488384,0.223925
0.001136,-0.210200,0.035966,-0.875612,-0.595868,-3.723927,0.612160,17.524630,28.773813,11.108180
0.006627,-0.405592,0.725202,-0.477987,-1.377502,-3.919073,-10.038726,9.416356,-8.267259,-31.642426
-0.000104,-0.014400,0.007743,-0.000068,-0.014455,0.099552,0.150017,-0.192048,-0.492886,0.173548
0.000764,-0.128374,-0.715419,-0.139054,0.182992,-3.418743,0.900139,17.420061,28.819656,11.274597
0.006850,0.296875,0.053264,-0.996087,-1.421061,-4.172835,-10.016625,9.595585,-8.100819,-31.620697
-0.000095,0.035451,0.041870,-0.000055,-0.034486,0.093779,0.138153,-0.190026,-0.497371,0.123167
0.000370,0.246639,-0.071954,0.711183,0.904324,-3.094274,1.187323,17.313520,28.864544,11.440750
0.007045,-0.338013,-0.715315,-0.713385,-1.051636,-4.403029,-9.985773,9.773730,-7.934110,-31.598221
-0.000086,-0.050874,-0.005821,-0.000074,-0.044450,0.087476,0.126168,-0.187983,-0.501840,0.072783
-0.000038,-0.377452,0.716992,0.991061,1.335982,-2.752228,1.473463,17.205023,28.908474,11.606636
0.007209,-0.201763,-0.105158,0.143901,-0.347265,-4.608177,-9.946194,9.950769,-7.767139,-31.575003
-0.000075,0.017472,-0.042994,-0.000102,-0.040286,0.080677,0.114074,-0.185918,-0.506292,0.022398
-0.000456,0.229245,0.139855,0.454691,1.334295,-2.394427,1.758306,17.094574,28.951445,11.772251
0.007345,0.223953,0.713630,0.883306,0.473156,-4.786908,-9.897916,10.126681,-7.599910,-31.551048
-0.000065,-0.003437,0.001529,-0.000109,-0.023056,0.073415,0.101879,-0.183832,-0.510727,-0.027989
-0.000884,0.005309,-0.701843,-0.466666,0.924189,-2.022805,2.041601,16.982183,28.993456,11.937590
0.007458,-0.452770,0.159418,0.873504,1.155405,-4.937966,-9.840977,10.301444,-7.432429,-31.526358
-0.000054,-0.038229,0.042482,-0.000079,0.001301,0.065729,0.089595,-0.181726,-0.515146,-0.078374
-0.001327,-0.361836,-0.177414,-0.987722,0.259753,-1.639405,2.323097,16.867863,29.034506,12.102651
0.007544,0.093821,-0.696100,0.116834,1.529736,-5.060222,-9.775419,10.475038,-7.264701,-31.500937
-0.000043,0.040080,0.000464,-0.000027,0.025446,0.057659,0.077233,-0.179598,-0.519547,-0.128758
-0.001782,0.353501,0.691787,-0.679143,-0.470386,-1.246372,2.602548,16.751627,29.074591,12.267430
0.007597,-0.093887,-0.207400,-0.736861,1.544092,-5.152681,-9.701292,10.647441,-7.096732,-31.474785
-0.000031,-0.040916,-0.043005,0.000012,0.043662,0.049251,0.064804,-0.177451,-0.523932,-0.179139
-0.002242,-0.240897,0.240453,0.182386,-1.103979,-0.845946,2.879705,16.633486,29.113710,12.431928
0.007615,-0.388008,0.686252,-0.989401,1.233212,-5.214494,-9.618649,10.818632,-6.928528,-31.447906
-0.000019,-0.010453,-0.004713,0.000017,0.052694,0.040550,0.052317,-0.175283,-0.528298,-0.229515
-0.002704,-0.095191,-0.673114,0.897417,-1.522673,-0.440455,3.154321,16.513449,29.151867,12.596140
0.007601,0.308305,0.261640,-0.448240,0.681452,-5.244971,-9.527557,10.988593,-6.760094,-31.420305
-0.000007,0.033049,0.042167,-0.000006,0.051407,0.031606,0.039785,-0.173095,-0.532647,-0.279887
-0.003169,0.217793,-0.279168,0.884901,-1.651246,-0.032308,3.426150,16.391527,29.189056,12.760063
0.007555,-0.359024,-0.662472,0.457124,0.001056,-5.243583,-9.428079,11.157300,-6.591435,-31.391981
0.000006,-0.050219,0.006739,-0.000030,0.040307,0.022470,0.027218,-0.170888,-0.536979,-0.330252
-0.003632,-0.392119,0.651888,0.133027,-1.456859,0.376020,3.694948,16.267738,29.225273,12.923695
0.007474,-0.170414,-0.305636,0.982234,-0.676881,-5.209982,-9.320289,11.324734,-6.422558,-31.362942
0.000018,0.021120,-0.042106,-0.000023,0.021334,0.013196,0.014627,-0.168661,-0.541293,-0.380609
-0.004088,0.252158,0.335762,-0.734051,-0.956356,0.781992,3.960474,16.142090,29.260519,13.087031
0.007361,0.196805,0.643643,0.669094,-1.207899,-5.144010,-9.204270,11.490874,-6.253467,-31.333187
0.000031,-0.007995,-0.010850,0.000019,-0.002069,0.003841,0.002023,-0.166414,-0.545589,-0.430958
-0.004539,-0.030400,-0.629721,-0.977199,-0.233020,1.183029,4.222486,16.014595,29.294800,13.250071
0.007219,-0.453914,0.357765,-0.213664,-1.448257,-5.045704,-9.080105,11.655702,-6.084169,-31.302717
0.000044,-0.035265,0.040931,0.000072,-0.024848,-0.005538,-0.010583,-0.164149,-0.549866,-0.481296
-0.004988,-0.350448,-0.374981,-0.411043,0.547537,1.576523,4.480747,15.885265,29.328106,13.412808
0.007045,0.125443,-0.615110,-0.918145,-1.293098,-4.915301,-8.947888,11.819200,-5.914670,-31.271538
0.000056,0.041422,0.012870,0.000102,-0.040741,-0.014882,-0.023180,-0.161865,-0.554126,-0.531624
